"filename", "language", "JSON", "PowerShell", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"d:\dev\internship\leoni_post_tracker\API\app.js", "JavaScript", 0, 0, 147, 0, 0, 0, 49, 196
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 3886, 6, 193, 4085
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 5, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 3886, 6, 192, 4084
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 5, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 514, 14, 65, 593
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 5, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 520, 6, 64, 590
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 5, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 4888, 8, 503, 5399
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 1, 5, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 4884, 6, 500, 5390
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 5, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap.css", "CSS", 0, 0, 0, 0, 11142, 32, 897, 12071
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 4, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 11144, 6, 885, 12035
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 2, 4, 0, 6
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\js\bootstrap.bundle.js", "JavaScript", 0, 0, 5053, 0, 0, 655, 599, 6307
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 1, 0, 0, 6, 0, 7
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\js\bootstrap.esm.js", "JavaScript", 0, 0, 3557, 0, 0, 578, 305, 4440
"d:\dev\internship\leoni_post_tracker\API\interface\bootstrap-5.3.0-dist\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 1, 0, 0, 6, 0, 7
